,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
0,TCS,3.6k,97.1k,"IT Services & Consulting - Bangalore , Bengaluru +413 other locations",9.1L,11k,190,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1,Accenture,3.8k,62.6k,"IT Services & Consulting - Bangalore , Bengaluru +227 other locations",6.1L,8.6k,11.6k,N/A,"Promotions / Appraisal, Salary & Benefits"
2,Wipro,3.7k,56.8k,"IT Services & Consulting - Bangalore , Bengaluru +358 other locations",4.6L,6k,6.7k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3,Cognizant,3.7k,54k,"IT Services & Consulting - Hyderabad , Secunderabad +212 other locations",5.9L,5.9k,672,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4,Capgemini,3.7k,45.6k,"IT Services & Consulting - Bangalore , Bengaluru +172 other locations",4.5L,5k,1.6k,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
5,HDFC Bank,3.9k,43k,Banking - Mumbai +1693 other locations,1.4L,2.4k,181,"Job Security, Skill Development / Learning",Promotions / Appraisal
6,Infosys,3.6k,42.5k,"IT Services & Consulting - Bangalore , Bengaluru +228 other locations",4.9L,7.9k,1.8k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7,ICICI Bank,4.0k,41.6k,Banking - Mumbai +1392 other locations,1.5L,2.6k,3,"Job Security, Skill Development / Learning, Company Culture",N/A
8,HCLTech,3.5k,39.2k,IT Services & Consulting - Chennai +216 other locations,3.5L,4.1k,393,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,3.5k,37.8k,"IT Services & Consulting - Hyderabad , Secunderabad +320 other locations",2.7L,4.1k,405,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
10,Genpact,3.8k,35.4k,"IT Services & Consulting - Hyderabad , Secunderabad +160 other locations",2.1L,3.4k,449,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
11,Teleperformance,3.9k,32.1k,BPO - Mumbai +245 other locations,92k,1.9k,341,"Company Culture, Work Life Balance, Job Security",N/A
12,Concentrix Corporation,3.7k,28.3k,"BPO - Bangalore , Bengaluru +165 other locations",1.2L,1.7k,121,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
13,Axis Bank,3.7k,27.9k,Banking - Mumbai +1421 other locations,1L,1.6k,202,N/A,"Promotions / Appraisal, Work Satisfaction"
14,Amazon,4.0k,27k,"Internet - Bangalore , Bengaluru +498 other locations",1.3L,5.3k,2.9k,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
15,Jio,4.0k,25.3k,Telecom - Mumbai +1416 other locations,60.8k,2.2k,56,"Job Security, Skill Development / Learning, Company Culture",N/A
16,iEnergizer,4.7k,24.4k,BPO - Noida +44 other locations,22.8k,749,287,"Company Culture, Job Security, Skill Development / Learning",N/A
17,Reliance Retail,3.9k,24k,Retail - Mumbai +1086 other locations,66.5k,1.7k,124,"Skill Development / Learning, Job Security",Promotions / Appraisal
18,IBM,4.0k,23.4k,"IT Services & Consulting - Bangalore , Bengaluru +159 other locations",2L,2.4k,1.8k,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
19,LTIMindtree,3.7k,22.5k,"IT Services & Consulting - Bangalore , Bengaluru +133 other locations",1.8L,3k,385,N/A,"Promotions / Appraisal, Salary & Benefits"
20,HDB Financial Services,3.9k,22.1k,NBFC - Mumbai +1028 other locations,49.4k,901,233,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
21,Larsen & Toubro Limited,3.9k,20k,Engineering & Construction - Chennai +706 other locations,69.5k,1.5k,205,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
22,Deloitte,3.8k,19.3k,"Management Consulting - Hyderabad , Secunderabad +165 other locations",2.1L,3k,69,"Job Security, Skill Development / Learning","Work Life Balance, Promotions / Appraisal, Work Satisfaction"
23,Kotak Mahindra Bank,3.7k,18.9k,Banking - Mumbai +648 other locations,82.8k,1.2k,65,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
24,Reliance Industries,4.0k,17.3k,Oil & Gas - Jamnagar +761 other locations,68.2k,1.4k,46,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
25,BYJU'S,3.1k,16.3k,"EdTech - Bangalore , Bengaluru +321 other locations",57.7k,2.1k,--,N/A,"Job Security, Company Culture, Work Life Balance"
26,Vodafone Idea,4.0k,16.1k,Telecom - Pune +685 other locations,51.4k,585,18,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
27,Bharti Airtel,3.9k,15k,"Telecom - Gurgaon , Gurugram +749 other locations",47.3k,936,519,Skill Development / Learning,Promotions / Appraisal
28,WNS,3.3k,13k,BPO - Pune +56 other locations,64.3k,1.1k,200,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
29,Tata Motors,4.2k,12.8k,Automobile - Pune +485 other locations,40.2k,1.1k,140,"Job Security, Company Culture, Work Life Balance",N/A
30,AU Small Finance Bank,4.2k,12.3k,Banking - Jaipur +723 other locations,26.6k,576,53,"Job Security, Skill Development / Learning, Company Culture",N/A
31,IndusInd Bank,3.5k,11.9k,Banking - Mumbai +751 other locations,49.1k,668,148,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
32,Ernst & Young,3.4k,11.8k,"Management Consulting - Bangalore , Bengaluru +120 other locations",1.2L,1.2k,3.3k,N/A,"Work Life Balance, Promotions / Appraisal, Company Culture"
33,IDFC FIRST Bank,3.9k,11.5k,Banking - Mumbai +662 other locations,45.1k,736,32,Salary & Benefits,N/A
34,Flipkart,3.9k,11.4k,"Internet - Bangalore , Bengaluru +542 other locations",49.8k,1.4k,150,Skill Development / Learning,Promotions / Appraisal
35,DXC Technology,3.7k,10.7k,"IT Services & Consulting - Bangalore , Bengaluru +127 other locations",72.9k,830,236,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
36,Infosys BPM,3.6k,10.6k,"BPO - Bangalore , Bengaluru +87 other locations",68.2k,1k,78,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
37,Mahindra & Mahindra,4.1k,10.4k,Automobile - Pune +530 other locations,36.8k,727,23,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
38,Bajaj Finserv,4.0k,10.3k,Financial Services - Pune +1049 other locations,27.9k,579,28,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
39,PwC,3.4k,10.3k,"Management Consulting - Bangalore , Bengaluru +120 other locations",98.1k,1.4k,1.6k,N/A,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
40,HDFC Life,3.9k,10.1k,Insurance - Mumbai +639 other locations,31.1k,666,26,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
41,Conneqt Business Solutions,3.6k,9.3k,"BPO - Hyderabad , Secunderabad +252 other locations",26.8k,505,385,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
42,Mphasis,3.3k,9k,"IT Services & Consulting - Bangalore , Bengaluru +57 other locations",70k,839,122,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
43,Bandhan Bank,3.7k,8.6k,Banking - Kolkata +907 other locations,23.1k,605,3,Job Security,"Promotions / Appraisal, Work Satisfaction"
44,Yes Bank,3.7k,8.6k,Banking - Mumbai +497 other locations,41.7k,470,172,N/A,"Work Satisfaction, Job Security, Promotions / Appraisal"
45,Tata Steel,4.0k,8.3k,Iron & Steel - Jamshedpur +212 other locations,30.7k,912,--,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
46,Startek,3.1k,8.2k,"Bangalore , Bengaluru +99 other locations",23.5k,520,65,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
47,Quess,3.8k,8k,"BPO - Bangalore , Bengaluru +650 other locations",29.1k,456,43,N/A,"Promotions / Appraisal, Job Security"
48,Asian Paints,4.0k,8k,Chemicals - Mumbai +502 other locations,22.8k,697,37,"Salary & Benefits, Skill Development / Learning, Job Security","Work Life Balance, Promotions / Appraisal"
49,Paytm,3.2k,8k,FinTech - Noida +375 other locations,31.8k,789,260,N/A,"Job Security, Company Culture, Promotions / Appraisal"
50,UltraTech Cement,4.2k,7.8k,Building Material - Mumbai +486 other locations,21.7k,647,303,"Job Security, Skill Development / Learning, Company Culture",N/A
51,Maruti Suzuki,4.2k,7.7k,"Automobile - Gurgaon , Gurugram +409 other locations",24.9k,636,617,"Job Security, Salary & Benefits, Skill Development / Learning",N/A
52,Samsung,3.9k,7.7k,Consumer Electronics & Appliances - Noida +553 other locations,25.8k,571,40,Salary & Benefits,Promotions / Appraisal
53,Shriram Finance,4.0k,7.7k,NBFC - Chennai +1033 other locations,14k,369,23,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
54,Ericsson,4.1k,7.6k,Telecom - Noida +157 other locations,41.7k,430,131,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
55,EXL Service,3.7k,7.6k,IT Services & Consulting - Noida +58 other locations,40.8k,795,208,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
56,Muthoot Fincorp,4.5k,7.5k,"NBFC - Bangalore , Bengaluru +892 other locations",8.4k,622,36,"Company Culture, Work Life Balance, Job Security",N/A
57,Sutherland Global Services,3.5k,7.6k,IT Services & Consulting - Chennai +72 other locations,31k,684,243,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
58,Bajaj Finance,4.0k,7.5k,NBFC - Pune +878 other locations,21.7k,346,2,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
59,Cipla,4.1k,7.4k,Pharma - Mumbai +268 other locations,24.5k,523,148,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
60,Dr. Reddy's,4.0k,7.2k,"Pharma - Hyderabad , Secunderabad +199 other locations",24.5k,425,40,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
61,HGS,3.8k,7.1k,"BPO - Bangalore , Bengaluru +117 other locations",22k,250,25,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
62,Wells Fargo,3.8k,7.1k,"Financial Services - Bangalore , Bengaluru +26 other locations",51.1k,608,284,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
63,Amazon Development Centre India,4.0k,6.8k,"Internet - Hyderabad , Secunderabad +135 other locations",34k,808,14,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
64,ICICI Prudential Life Insurance,4.0k,6.8k,Insurance - Mumbai +484 other locations,22.1k,424,279,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
65,JPMorgan Chase & Co.,3.9k,6.7k,"Financial Services - Bangalore , Bengaluru +51 other locations",75.4k,784,763,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
66,Jana Small Finance Bank,3.8k,6.6k,"Banking - Bangalore , Bengaluru +390 other locations",13.9k,260,35,N/A,Promotions / Appraisal
67,Optum Global Solutions,4.0k,6.7k,"IT Services & Consulting - Hyderabad , Secunderabad +50 other locations",42.1k,669,333,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
68,Delhivery,3.8k,6.6k,"Logistics - Gurgaon , Gurugram +698 other locations",19.4k,503,106,N/A,Promotions / Appraisal
69,Hexaware Technologies,3.5k,6.5k,IT Services & Consulting - Chennai +65 other locations,49.1k,749,216,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
70,Lupin,4.1k,6.5k,Pharma - Pune +188 other locations,21.9k,372,151,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
71,L&T Construction,4.0k,6.5k,Engineering & Construction - Chennai +401 other locations,18.3k,811,--,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal"
72,JSW Steel,3.9k,6.4k,Iron & Steel - Ballari +168 other locations,27.8k,654,92,"Job Security, Skill Development / Learning",Promotions / Appraisal
73,Zydus Lifesciences,4.1k,6.4k,Pharma - Ahmedabad +168 other locations,18.8k,353,33,"Salary & Benefits, Skill Development / Learning, Company Culture",N/A
74,Hindustan Unilever,4.2k,6.4k,FMCG - Mumbai +497 other locations,19.2k,397,55,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
75,Equitas Small Finance Bank,4.4k,6.3k,Banking - Chennai +430 other locations,12.1k,465,1.9k,"Company Culture, Work Life Balance, Job Security",N/A
76,Sun Pharmaceutical Industries,4.0k,6.2k,Pharma - Vadodara +234 other locations,22k,443,307,"Salary & Benefits, Job Security, Skill Development / Learning",N/A
77,ITC,3.9k,6.1k,"FMCG - Bangalore , Bengaluru +352 other locations",22.4k,602,85,"Job Security, Skill Development / Learning",Promotions / Appraisal
78,KPMG India,3.5k,6.1k,"Management Consulting - Bangalore , Bengaluru +103 other locations",56.3k,837,1.4k,N/A,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
79,Ujjivan Small Finance Bank,4.1k,5.9k,"Banking - Bangalore , Bengaluru +500 other locations",12.5k,257,55,"Company Culture, Work Life Balance, Job Security",N/A
80,Ekart Logistics,3.9k,6k,"Bangalore , Bengaluru +693 other locations",14.1k,343,--,Skill Development / Learning,Promotions / Appraisal
81,Axis Max Life Insurance,4.1k,5.9k,Insurance - New Delhi +455 other locations,18.3k,342,332,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
82,FIS,3.9k,5.8k,FinTech - Pune +57 other locations,37.8k,500,65,"Work Life Balance, Company Culture",Promotions / Appraisal
83,HCL Group,3.6k,5.8k,IT Services & Consulting - Chennai +92 other locations,45.1k,478,1,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
84,Tata Projects,4.2k,5.7k,Engineering & Construction - Mumbai +262 other locations,20.5k,490,29,"Job Security, Salary & Benefits, Company Culture",N/A
85,Megha Engineering & Infrastructures,3.9k,5.7k,"Engineering & Construction - Hyderabad , Secunderabad +363 other locations",16.7k,487,23,Job Security,Promotions / Appraisal
86,IIFL Finance,4.0k,5.6k,NBFC - Mumbai +750 other locations,14.1k,279,8,"Work Life Balance, Company Culture, Job Security",N/A
87,Indian Army,4.7k,5.6k,Defence & Aerospace - New Delhi +345 other locations,9.4k,167,--,"Job Security, Company Culture, Work Satisfaction",N/A
88,Oracle,3.7k,5.5k,"Software Product - Bangalore , Bengaluru +53 other locations",57.5k,889,957,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
89,L&T Technology Services,3.3k,5.5k,"IT Services & Consulting - Bangalore , Bengaluru +87 other locations",39.3k,568,587,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
90,Coforge,3.3k,5.4k,IT Services & Consulting - Noida +100 other locations,42.7k,581,352,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
91,Muthoot Finance,3.6k,5.4k,"NBFC - Bangalore , Bengaluru +721 other locations",12.5k,282,118,N/A,"Promotions / Appraisal, Work Satisfaction, Company Culture"
92,eClerx,3.3k,5.4k,IT Services & Consulting - Pune +28 other locations,29.3k,567,140,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
93,JLL,4.1k,5.3k,"Real Estate - Gurgaon , Gurugram +73 other locations",21.8k,401,938,"Job Security, Company Culture, Work Life Balance",N/A
94,Virtusa Consulting Services,3.7k,5.4k,"IT Services & Consulting - Hyderabad , Secunderabad +50 other locations",53.3k,611,23,N/A,"Promotions / Appraisal, Job Security, Salary & Benefits"
95,Bajaj Allianz Life Insurance,3.9k,5.4k,Insurance - Pune +562 other locations,16.1k,369,96,Salary & Benefits,N/A
96,Omega Healthcare,3.7k,5.3k,BPO - Chennai +63 other locations,23.8k,474,212,N/A,"Promotions / Appraisal, Salary & Benefits"
97,HSBC Group,3.9k,5.3k,"Financial Services - Bangalore , Bengaluru +60 other locations",37.9k,507,207,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
98,Udaan,3.9k,5.2k,"Internet - Bangalore , Bengaluru +349 other locations",15.6k,344,10,"Salary & Benefits, Work Life Balance, Skill Development / Learning","Job Security, Promotions / Appraisal"
99,Aurobindo Pharma,4.0k,5.1k,"Pharma - Hyderabad , Secunderabad +101 other locations",21.1k,255,12,"Job Security, Salary & Benefits, Work Life Balance",N/A
100,Indiamart Intermesh,3.6k,5.2k,Internet - Noida +163 other locations,19k,681,640,N/A,"Promotions / Appraisal, Work Satisfaction, Company Culture"
101,Siemens,4.0k,5.1k,"Industrial Automation - Bangalore , Bengaluru +146 other locations",30.6k,449,964,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
102,Cholamandalam Investment & Finance,3.9k,5.1k,Financial Services - Chennai +752 other locations,11k,214,37,Salary & Benefits,N/A
103,Shapoorji Pallonji Group,4.1k,5.1k,Engineering & Construction - Mumbai +184 other locations,14.8k,362,44,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
104,Standard Chartered,3.6k,5k,Banking - Chennai +67 other locations,39.9k,287,651,N/A,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
105,DMart,3.9k,5k,Retail - Mumbai +231 other locations,16.5k,441,187,"Job Security, Company Culture",Promotions / Appraisal
106,ICICI Lombard General Insurance Company,3.6k,4.9k,Insurance - Mumbai +292 other locations,18.7k,310,101,N/A,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
107,Apollo Hospitals,4.1k,4.9k,Healthcare - Chennai +210 other locations,15.7k,391,52,"Job Security, Skill Development / Learning, Company Culture",N/A
108,Firstsource Solutions,3.6k,5k,"BPO - Bangalore , Bengaluru +65 other locations",22.4k,318,107,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
109,CGI Group,4.0k,5k,"IT Services & Consulting - Bangalore , Bengaluru +41 other locations",44.2k,520,299,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
110,Bosch Global Software Technologies,3.8k,4.9k,"IT Services & Consulting - Bangalore , Bengaluru +39 other locations",36.9k,356,6,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
111,GlobalLogic,3.6k,4.9k,"IT Services & Consulting - Hyderabad , Secunderabad +53 other locations",36.9k,619,40,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
112,Cyient,3.7k,4.8k,"IT Services & Consulting - Hyderabad , Secunderabad +42 other locations",26.3k,302,107,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
113,BigBasket,3.9k,4.8k,"Internet - Bangalore , Bengaluru +126 other locations",17.4k,389,76,"Job Security, Skill Development / Learning",Promotions / Appraisal
114,Ashok Leyland,4.1k,4.8k,Automobile - Chennai +230 other locations,17.6k,267,--,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
115,Citicorp,3.7k,4.8k,Financial Services - Pune +65 other locations,45.8k,584,--,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
116,UST,3.8k,4.8k,"IT Services & Consulting - Bangalore , Bengaluru +48 other locations",37.5k,539,189,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
117,Mahindra Finance,4.0k,4.8k,NBFC - Mumbai +689 other locations,11.4k,166,34,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
118,SMFG India Credit,4.0k,4.7k,NBFC - Mumbai +554 other locations,10.5k,174,110,"Salary & Benefits, Job Security",N/A
119,Hero MotoCorp,4.1k,4.7k,"Automobile - Gurgaon , Gurugram +338 other locations",14.5k,365,--,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
120,Manappuram Finance,3.9k,4.6k,"NBFC - Bangalore , Bengaluru +577 other locations",8.2k,171,4,"Promotions / Appraisal, Skill Development / Learning",N/A
121,JustDial,3.5k,4.6k,Internet - Noida +206 other locations,14.7k,354,52,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
122,Eviden,3.6k,4.6k,IT Services & Consulting - Pune +36 other locations,30.4k,305,43,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
123,Swiggy,3.8k,4.5k,"Internet - Bangalore , Bengaluru +214 other locations",20.8k,461,196,N/A,"Job Security, Promotions / Appraisal, Work Satisfaction"
124,Vivo,4.1k,4.6k,Consumer Electronics & Appliances - Noida +400 other locations,12.8k,204,2,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
125,BNY,3.8k,4.5k,Financial Services - Pune +22 other locations,28.8k,361,56,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
126,IQVIA,3.8k,4.5k,"Clinical Research - Bangalore , Bengaluru +58 other locations",28.3k,485,36,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
127,Kalpataru Projects International,4.1k,4.5k,Engineering & Construction - Mumbai +287 other locations,12.6k,274,2,"Job Security, Company Culture, Work Life Balance",N/A
128,SBI Cards & Payment Services,3.7k,4.5k,Financial Services - New Delhi +394 other locations,15.5k,255,91,N/A,"Promotions / Appraisal, Work Satisfaction, Company Culture"
129,TVS Motor,3.9k,4.4k,Automobile - Hosur +324 other locations,14.8k,341,66,"Skill Development / Learning, Job Security, Salary & Benefits",Promotions / Appraisal
130,Atos,3.8k,4.4k,IT Services & Consulting - Pune +48 other locations,33.2k,390,119,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
131,Home Credit Finance,4.1k,4.4k,"NBFC - Gurgaon , Gurugram +125 other locations",9.5k,120,105,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
132,CBRE,4.1k,4.4k,"Real Estate - Hyderabad , Secunderabad +85 other locations",17k,296,53,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
133,Persistent Systems,3.6k,4.3k,IT Services & Consulting - Pune +41 other locations,40.2k,635,187,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
134,PolicyBazaar,3.7k,4.4k,"Internet - Gurgaon , Gurugram +126 other locations",15.6k,464,293,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
135,Nagarro,4.0k,4.3k,"IT Services & Consulting - Gurgaon , Gurugram +47 other locations",28k,785,273,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
136,OPPO,4.0k,4.2k,Consumer Electronics & Appliances - Greater Noida +387 other locations,11.9k,225,12,Skill Development / Learning,"Promotions / Appraisal, Job Security"
137,Amdocs,3.7k,4.3k,Software Product - Pune +21 other locations,35.7k,528,54,Company Culture,"Promotions / Appraisal, Work Satisfaction, Job Security"
138,JBM Group,4.0k,4.2k,"Auto Components - Gurgaon , Gurugram +103 other locations",13.5k,302,39,"Job Security, Skill Development / Learning",Promotions / Appraisal
139,State Bank of India,3.8k,4.2k,Banking - Mumbai +555 other locations,10.7k,266,1,"Job Security, Salary & Benefits",Work Life Balance
140,SBI Life Insurance Company,3.8k,4.3k,Insurance - Mumbai +597 other locations,10.9k,258,5,Job Security,"Promotions / Appraisal, Work Satisfaction"
141,NTT Data,3.8k,4.2k,"IT Services & Consulting - Bangalore , Bengaluru +67 other locations",30.7k,652,19,"Work Life Balance, Job Security",Promotions / Appraisal
142,Schneider Electric,4.1k,4.2k,"Industrial Automation - Bangalore , Bengaluru +116 other locations",21.9k,383,309,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
143,Nagarjuna Construction Company,4.1k,4.2k,"Engineering & Construction - Hyderabad , Secunderabad +261 other locations",10.8k,349,10,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
144,Bosch,4.2k,4.1k,"Auto Components - Bangalore , Bengaluru +115 other locations",19.6k,344,407,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
145,Dell,3.9k,4.1k,"Consumer Electronics & Appliances - Bangalore , Bengaluru +109 other locations",27.5k,404,38,"Work Life Balance, Company Culture",Promotions / Appraisal
146,Hewlett Packard Enterprise,4.2k,4.1k,"IT Services & Consulting - Bangalore , Bengaluru +96 other locations",26k,244,1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
147,Mahindra Logistics,3.9k,4.1k,Logistics - Mumbai +226 other locations,13k,217,10,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
148,Ecom Express,3.8k,4.1k,"Logistics - Gurgaon , Gurugram +693 other locations",9.1k,218,10,N/A,"Promotions / Appraisal, Job Security"
149,KEC International,4.0k,4k,Engineering & Construction - Mumbai +293 other locations,12k,344,--,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
150,Piramal Capital Housing Finance,4.2k,4.1k,NBFC - Mumbai +361 other locations,9.2k,202,2,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
151,Varun Beverages,4.0k,3.9k,Beverage - New Delhi +334 other locations,11k,262,35,"Job Security, Salary & Benefits",Promotions / Appraisal
152,Aditya Birla Fashion and Retail,4.1k,3.9k,"Fashion & Textile - Bangalore , Bengaluru +265 other locations",12.3k,229,90,"Job Security, Skill Development / Learning, Company Culture",N/A
153,Randstad,3.7k,3.9k,"Recruitment - Hyderabad , Secunderabad +308 other locations",15.1k,284,66,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
154,Deutsche Bank,3.8k,3.8k,Banking - Pune +42 other locations,32.7k,383,587,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning"
155,Hyundai Motor India Limited,4.3k,3.9k,Automobile - Chennai +272 other locations,12.8k,287,--,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
156,CARS24,3.5k,3.9k,"Internet - Gurgaon , Gurugram +164 other locations",14.6k,359,88,N/A,"Job Security, Promotions / Appraisal, Company Culture"
157,Havells,3.9k,3.8k,Electrical Equipment - Noida +227 other locations,12.8k,233,38,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
158,ITC Infotech,3.6k,3.8k,"IT Services & Consulting - Bangalore , Bengaluru +63 other locations",28.2k,365,87,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
159,EY Global Delivery Services ( EY GDS),3.5k,3.8k,"Accounting & Auditing - Bangalore , Bengaluru +47 other locations",36.4k,796,10,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
160,R1 RCM,3.8k,3.8k,BPO - New Delhi +42 other locations,19.5k,307,418,"Company Culture, Job Security",Promotions / Appraisal
161,Intas Pharmaceuticals,4.1k,3.7k,Pharma - Ahmedabad +134 other locations,16.3k,230,21,"Job Security, Salary & Benefits, Work Life Balance",N/A
162,L&T Finance,3.9k,3.8k,NBFC - Mumbai +549 other locations,11k,171,1,Salary & Benefits,Promotions / Appraisal
163,Bajaj Auto,3.8k,3.7k,Automobile - Pune +290 other locations,13.4k,287,157,N/A,Promotions / Appraisal
164,Team Lease,3.9k,3.7k,"Recruitment - Bangalore , Bengaluru +371 other locations",15k,223,2,N/A,Promotions / Appraisal
165,Oyo Rooms,3.2k,3.6k,"Internet - Gurgaon , Gurugram +118 other locations",17.9k,227,81,N/A,"Job Security, Work Satisfaction, Promotions / Appraisal"
166,Reliance Communications,4.0k,3.6k,Telecom - Mumbai +455 other locations,9.9k,97,--,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
167,Tata AIA Life Insurance,4.0k,3.6k,Insurance - Mumbai +388 other locations,12.7k,200,543,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
168,Access Healthcare,3.9k,3.6k,Analytics & KPO - Chennai +48 other locations,22k,228,229,"Job Security, Company Culture",Promotions / Appraisal
169,John Deere,4.1k,3.6k,Industrial Machinery - Pune +136 other locations,14.7k,244,13,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
